category,nameZh,abbr,unit,refValue,refMin,refMax,aliases
血常规,白细胞计数,WBC,×10⁹/L,,4.0,10.0,白细胞|白血球
血常规,红细胞计数,RBC,×10¹²/L,,3.8,5.9,红细胞|红血球
血常规,血红蛋白,HGB,g/L,,115,175,血红蛋白测定|Hb
血常规,红细胞压积,HCT,%,,35,50,压积
血常规,平均红细胞体积,MCV,fL,,80,100,
血常规,平均血红蛋白量,MCH,pg,,27,34,平均红细胞血红蛋白含量
血常规,平均血红蛋白浓度,MCHC,g/L,,320,360,平均红细胞血红蛋白浓度
血常规,血小板计数,PLT,×10⁹/L,,100,300,血小板
血常规,中性粒细胞百分比,NEUT%,%,,40,75,中性粒细胞比率
血常规,中性粒细胞绝对值,NEUT#,×10⁹/L,,2,7,
血常规,淋巴细胞百分比,LYMPH%,%,,20,50,淋巴细胞比率
血常规,淋巴细胞绝对值,LYMPH#,×10⁹/L,,0.8,4,淋巴细胞计数
血常规,单核细胞百分比,MONO%,%,,3,10,单核细胞比率
血常规,单核细胞绝对值,MONO#,×10⁹/L,,0.12,0.8,
血常规,嗜酸性粒细胞百分比,EO%,%,,0.5,5,嗜酸性粒细胞比率
血常规,嗜酸性粒细胞绝对值,EO#,×10⁹/L,,0.02,0.5,
血常规,嗜碱性粒细胞百分比,BASO%,%,,0,1,嗜碱性粒细胞比率
血常规,嗜碱性粒细胞绝对值,BASO#,×10⁹/L,,0,0.1,
血常规,红细胞分布宽度,RDW,%,,11,15,红细胞分布宽度变异系数|RDW-CV
血常规,红细胞分布宽度SD,RDW-SD,fL,,37,51,
血常规,血小板分布宽度,PDW,fL,,9,17,
血常规,血小板平均体积,MPV,fL,,7,11,平均血小板体积
血常规,大型血小板比率,P-LCR,%,,13,43,大血小板比率
血常规,血小板压积,PCT,%,,0.1,0.3,
血沉,红细胞沉降率,ESR,mm/h,,0,20,血沉
C反应蛋白,C反应蛋白,CRP,mg/L,,0,10,C-反应蛋白
C反应蛋白,超敏C反应蛋白,hs-CRP,mg/L,,0,3,
肝功能,丙氨酸氨基转移酶,ALT,U/L,,7,40,谷丙转氨酶
肝功能,天门冬氨酸氨基转移酶,AST,U/L,,13,35,谷草转氨酶|天冬氨酸氨基转移酶
肝功能,碱性磷酸酶,ALP,U/L,,40,150,
肝功能,γ-谷氨酰转移酶,GGT,U/L,,10,60,γ-谷氨酰转肽酶|谷氨酰转肽酶
肝功能,总胆红素,TBIL,μmol/L,,5,21,总胆红素(重氮法)
肝功能,直接胆红素,DBIL,μmol/L,,0,7,
肝功能,间接胆红素,IBIL,μmol/L,,3,14,
肝功能,总蛋白,TP,g/L,,60,80,总蛋白定量
肝功能,白蛋白,ALB,g/L,,35,55,白蛋白定量|白蛋白定量(溴甲酚绿)
肝功能,球蛋白,GLB,g/L,,20,35,
肝功能,白球比,A/G,,,1.2,2.5,白球比值
肝功能,血清总胆汁酸,TBA,μmol/L,,0,10,总胆汁酸
肝功能,前白蛋白,PA,mg/L,,200,400,
肾功能,血尿素氮,BUN,mmol/L,,2.8,7.1,尿素氮|尿素氮(酶法)|尿素
肾功能,肌酐,CREA,μmol/L,,44,97,肌酐(酶法)|肌酸酐|Cr
肾功能,尿酸,UA,μmol/L,,155,428,
肾功能,估算肾小球滤过率,eGFR,mL/min/1.73m²,,90,,
肾功能,β2微球蛋白,β2-MG,mg/L,,1,3,
肾功能,胱抑素C,CysC,mg/L,,0.6,1.3,胱抑素
肾功能,C1q测定,C1q,mg/L,,159,233,
尿常规,比重,SG,,,1.004,1.03,尿比重
尿常规,pH值,pH,,,4.5,8,酸碱度
尿常规,白细胞,LEU,,negative,,,尿白细胞
尿常规,隐血,ERY,,negative,,,尿隐血|尿潜血
尿常规,亚硝酸盐,NIT,,negative,,,
尿常规,酮体,KET,,negative,,,尿酮体
尿常规,胆红素,BIL,,negative,,,尿胆红素
尿常规,尿胆原,UBG,,negative,,,
尿常规,蛋白质,PRO,,negative,,,尿蛋白
尿常规,葡萄糖,GLU,,negative,,,尿糖|尿葡萄糖
电解质,钾,K,mmol/L,,3.5,5.5,血钾
电解质,钠,Na,mmol/L,,135,145,血钠
电解质,氯,Cl,mmol/L,,96,111,血氯
电解质,钙,Ca,mmol/L,,2.11,2.52,血钙
电解质,校正钙,cCa,mmol/L,,2.11,2.52,
电解质,镁,Mg,mmol/L,,0.70,1.10,血镁
电解质,总二氧化碳,TCO2,mmol/L,,20,34,二氧化碳结合力|CO2CP
血糖,空腹血糖,Glu-F,mmol/L,,3.9,6.1,葡萄糖|血糖
血糖,餐后血糖,Glu-P,mmol/L,,3.9,7.8,餐后2小时血糖|GLU(p)
